Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
21007,2527.286241,2578.53299,2606.601733,2706.349021,2766.443495,2843.768561,2958.785553,3066.977871,3067.202976,3308.419192,3435.209106,3531.419056,3606.525612,3627.93817,3552.988962,3475.802501,3515.212879,3546.529545,3574.869226
21008,5349.48599,5445.851381,5511.254429,5722.722485,5848.854865,6019.940198,6264.22192,6558.22005,6592.859344,7042.543187,7309.21121,7494.302219,7660.616451,7704.080406,7590.022272,7425.133823,7518.627824,7584.631299,7650.086694
21009,6089.716978,6199.609319,6264.126705,6504.976169,6655.310606,6851.798881,7135.332957,7472.10829,7474.872811,7943.936106,8260.920473,8534.398463,8740.237515,8802.389831,8673.717617,8485.286611,8581.800131,8664.595194,8731.856048
21010,2517.230308,2562.990936,2602.640915,2706.749074,2769.367212,2844.669599,2963.811572,3090.778061,3093.504498,3320.050096,3434.747111,3653.903553,3779.934393,3819.526029,3764.496899,3682.715599,3735.433694,3768.40633,3797.863947
21011,4385.600126,4464.351614,4522.002468,4695.663064,4803.519447,4958.715234,5182.324201,5397.756454,5419.530273,5756.467284,5976.891355,6122.706943,6254.246771,6279.57702,6181.995077,6047.695105,6144.581243,6201.213957,6276.531712
21012,1266.393302,1289.432935,1322.940761,1377.614492,1408.065963,1447.322014,1512.182481,1586.19621,1602.387075,1723.967179,1803.319276,1868.832981,1920.442772,1929.525106,1894.881888,1853.71678,1876.388288,1896.007495,1910.52875
21013,911.5993804,929.9264875,942.7352427,978.756046,1010.175836,1050.150348,1093.550439,1136.243638,1140.015957,1280.19197,1335.755094,1375.143541,1411.370596,1419.80888,1391.247892,1361.023919,1373.33749,1385.363311,1395.822463
21014,1647.150978,1682.218363,1703.188084,1774.20496,1814.806981,1865.299649,1941.212598,2018.597208,2022.341497,2223.562341,2317.619565,2407.323172,2458.95738,2468.933639,2415.742794,2363.262311,2384.752748,2408.418902,2426.710482
21015,1777.090302,1810.394056,1839.099639,1910.216332,1954.806376,2013.323369,2099.634845,2226.757555,2228.66199,2397.009375,2483.890197,2561.606143,2623.292033,2632.736482,2581.040215,2524.968748,2559.183565,2584.496438,2604.584625
21016,643.1590214,654.6154785,660.6702082,685.8461913,702.4589048,721.7597484,753.69604,793.5249427,795.0202383,853.7264374,882.7452583,906.6865766,927.0793216,934.4815963,914.4589185,894.5928763,904.6639216,913.6705694,920.5740005
21017,3993.816082,4068.847131,4142.923259,4299.855691,4393.470297,4515.718098,4707.485825,4901.168172,4904.82109,5305.424489,5467.527916,5652.153847,5767.952806,5778.510632,5674.354506,5551.08277,5639.829014,5724.000444,5781.479631
21018,3224.793988,3282.06513,3325.277618,3450.521894,3527.050416,3626.74948,3785.897984,3936.613877,3949.430574,4210.357052,4369.00312,4476.221826,4575.313279,4619.184708,4568.81822,4469.563514,4548.94841,4589.730938,4626.738439
21019,1924.161774,1963.611117,1986.287488,2063.151592,2111.093828,2179.171692,2284.43668,2466.842219,2487.587392,2638.285876,2758.083568,2838.653257,2900.944032,2921.273407,2873.211521,2810.792801,2847.504427,2873.041154,2894.946976
21020,4412.910717,4493.853367,4541.319309,4725.767095,4851.783763,4988.504445,5215.810108,5397.707809,5399.830501,5721.738737,5907.165887,6013.079713,6155.396085,6185.589546,6080.090079,5948.003928,6027.331138,6082.076219,6128.561371
21021,1906.048339,1939.792661,1962.276904,2036.016368,2079.354813,2136.554324,2227.075604,2307.015788,2310.411818,2462.503258,2539.718958,2606.702686,2674.357774,2698.080599,2653.258314,2595.617939,2627.938255,2654.055387,2675.551766
22001,2208.489661,2248.593174,2273.548671,2358.915767,2410.215811,2474.274162,2574.466701,2667.180573,2665.300456,2831.5135,2924.812299,3009.726455,3071.00301,3076.662272,3011.087453,2945.673487,2979.489731,3007.965947,3031.818626
22002,2555.202806,2613.270964,2643.851255,2744.810917,2807.517152,2883.899539,3001.16348,3154.353599,3153.571894,3350.736645,3458.003326,3551.552957,3627.423589,3643.623502,3565.41976,3487.963287,3525.033461,3557.329033,3587.592302
22003,7047.476396,7187.723507,7275.001937,7573.777987,7781.635001,8071.251231,8518.109263,9001.424995,9025.995382,9598.721651,9984.494738,10319.10049,10540.23549,10612.77844,10448.23772,10221.25644,10340.87657,10434.97952,10575.06897
22004,2973.976929,3028.106198,3069.722642,3184.90487,3252.929326,3339.072337,3476.949981,3599.628452,3598.047875,3804.735561,3917.257167,3991.151313,4073.959724,4090.881103,4002.354471,3915.405823,3953.441735,3988.338333,4021.434929
22005,1092.266945,1112.00026,1129.991307,1172.401184,1197.606292,1229.15764,1279.071176,1323.955331,1323.402133,1400.088676,1441.056468,1489.990113,1520.002744,1530.477353,1503.198323,1470.542282,1496.841221,1511.259271,1523.184074
22006,1549.339238,1577.02736,1596.546559,1656.380061,1691.734523,1736.397274,1807.283543,1875.178451,1873.725259,1981.902391,2036.719522,2073.627662,2119.709511,2129.432846,2085.197525,2039.89791,2060.936099,2079.489541,2095.452754
22007,2601.491247,2648.345672,2679.561676,2780.706324,2840.538442,2916.817226,3039.670748,3151.521303,3153.8052,3322.930127,3425.995524,3478.080726,3552.209885,3602.45911,3560.253158,3482.908875,3532.29493,3564.672915,3592.943401
22008,1183.669536,1204.652834,1218.204055,1263.912556,1291.191909,1328.478787,1384.355772,1433.352314,1433.159304,1513.14979,1555.592638,1579.514107,1611.109172,1667.327765,1634.259401,1598.756136,1614.199241,1628.431858,1649.220317
22009,2371.747485,2414.271569,2441.99046,2533.555537,2587.543064,2655.774891,2762.812079,2858.393141,2857.779563,3014.679131,3097.718915,3147.358865,3212.345507,3202.093399,3141.554879,3073.306573,3103.226812,3130.765556,3154.991739
22010,2892.781033,2943.98968,2974.797874,3086.112466,3151.737662,3234.987264,3365.312868,3484.440766,3481.808958,3661.491736,3766.36914,3836.003677,3918.587128,3936.133234,3889.329817,3804.836548,3854.040273,3889.456512,3923.142226
22011,3084.954082,3140.567636,3171.951909,3291.805956,3362.520814,3457.919593,3599.24349,3722.763702,3721.960633,3932.028384,4054.250941,4128.997297,4215.465358,4232.287192,4162.677455,4072.245886,4112.150692,4151.944676,4185.241554
